,Model,Methodology,Metric,Mean,Std
97,CatBoostRegressor,randomCV,MAE,46.08,9.54
98,CatBoostRegressor,randomCV,RMSE,68.7,16.28
99,CatBoostRegressor,randomCV_removed,R2,0.8,0.11
100,CatBoostRegressor,randomCV_removed,MAE,44.65,10.21
101,CatBoostRegressor,randomCV_removed,RMSE,68.51,15.85
102,CatBoostRegressor,groupedCV,R2,0.23,0.67
103,CatBoostRegressor,groupedCV,MAE,110.28,73.07
104,CatBoostRegressor,groupedCV,RMSE,147.15,111.4
105,CatBoostRegressor,groupedCV_removed,R2,0.4,0.21
106,CatBoostRegressor,groupedCV_removed,MAE,92.99,30.58
107,CatBoostRegressor,groupedCV_removed,RMSE,112.81,40.06
108,MLPRegressor,trainTest,R2,0.02,0.0
109,MLPRegressor,trainTest,MAE,169.08,0.0
110,MLPRegressor,trainTest,RMSE,239.81,0.0
111,MLPRegressor,trainTest_removed,R2,-0.51,0.0
112,MLPRegressor,trainTest_removed,MAE,132.25,0.0
113,MLPRegressor,trainTest_removed,RMSE,170.49,0.0
114,MLPRegressor,randomCV,R2,-0.38,0.4
115,MLPRegressor,randomCV,MAE,186.97,33.82
116,MLPRegressor,randomCV,RMSE,257.43,59.81
117,MLPRegressor,randomCV_removed,R2,-0.61,0.51
118,MLPRegressor,randomCV_removed,MAE,157.53,30.32
119,MLPRegressor,randomCV_removed,RMSE,205.36,40.78
120,MLPRegressor,groupedCV,R2,-1.64,2.78
121,MLPRegressor,groupedCV,MAE,191.43,62.55
122,MLPRegressor,groupedCV,RMSE,248.28,105.1
123,MLPRegressor,groupedCV_removed,R2,-0.88,0.83
124,MLPRegressor,groupedCV_removed,MAE,160.81,63.37
125,MLPRegressor,groupedCV_removed,RMSE,198.24,77.99
126,VotingRegressor,trainTest,R2,0.8,0.0
127,VotingRegressor,trainTest,MAE,72.43,0.0
128,VotingRegressor,trainTest,RMSE,107.3,0.0
129,VotingRegressor,trainTest_removed,R2,0.66,0.0
130,VotingRegressor,trainTest_removed,MAE,60.26,0.0
131,VotingRegressor,trainTest_removed,RMSE,81.16,0.0
132,VotingRegressor,randomCV,R2,0.84,0.09
133,VotingRegressor,randomCV,MAE,57.82,10.83
134,VotingRegressor,randomCV,RMSE,80.03,16.64
135,VotingRegressor,randomCV_removed,R2,0.79,0.1
136,VotingRegressor,randomCV_removed,MAE,51.67,10.91
137,VotingRegressor,randomCV_removed,RMSE,71.44,15.21
138,VotingRegressor,groupedCV,R2,0.26,0.52
139,VotingRegressor,groupedCV,MAE,114.61,64.81
140,VotingRegressor,groupedCV,RMSE,146.85,99.27
141,VotingRegressor,groupedCV_removed,R2,0.4,0.29
142,VotingRegressor,groupedCV_removed,MAE,88.75,27.46
143,VotingRegressor,groupedCV_removed,RMSE,107.82,31.89
